Datos,Iteracioes
F1_bb_train,[]
F1_bb_test,[]
F1_ponyGE_train,[0.9267545764815389, 0.9152384321707566, 0.9185169450378714, 0.9286203988602459, 0.910992129703995, 0.915343040694399, 0.9159913181145738, 0.9108278118795685, 0.9120191465923029, 0.9201262933700974]
F1_ponyGE_test,[0.8520227555287647, 0.9335471170942343, 0.8653745204926307, 0.7901151684102727, 0.9352657004830918, 0.9429951690821257, 0.9331437385520099, 0.9312990563541758, 0.9528231503087449, 0.9356619875817154]
