Datos,Iteracioes
F1_bb_train,[]
F1_bb_test,[]
F1_ponyGE_train,[0.6942647565676939, 0.7055337987939246, 0.6776448844038649, 0.7088660273176404, 0.7022921705801363, 0.7172994721169944, 0.7086708074534162, 0.7208897435030268, 0.6792300104717844, 0.6841978452147942]
F1_ponyGE_test,[0.6749811172542977, 0.5356638418079096, 0.7599910137041013, 0.6467432950191572, 0.590412111017662, 0.6458653264460886, 0.6128637808755196, 0.6232439335887613, 0.6471005098954283, 0.7279310344827586]
