Datos,Iteracioes
F1_bb_train,[]
F1_bb_test,[]
F1_ponyGE_train,[0.9007984669150865, 0.9046696129587086, 0.8926300599322909, 0.9091422577261357, 0.8921996375138602, 0.8970596772320911, 0.9000062759443055, 0.8940440226438366, 0.9004185402233643, 0.9005309192507259]
F1_ponyGE_test,[0.8659498207885304, 0.8007407407407406, 0.8366013071895424, 0.8272827282728273, 0.9447938504542278, 0.8366013071895424, 0.93915857605178, 0.9174603174603175, 0.928586839266451, 0.8540305010893247]
