Datos,Iteracioes
F1_bb_train,[]
F1_bb_test,[]
F1_ponyGE_train,[0.7590319226690088, 0.7481265410994911, 0.744139823149377, 0.7605948258293831, 0.7337928855263531, 0.7349215683435928, 0.7428449292624119, 0.7306906940757432, 0.7577659944881977, 0.7640169336060456]
F1_ponyGE_test,[0.6437202405088219, 0.6415190518669557, 0.7132034632034631, 0.639242832639059, 0.7387584892172047, 0.7539426904842029, 0.770664629488159, 0.780313537595091, 0.6900404858299596, 0.7694522183102124]
