Datos,Iteracioes
F1_bb_train,[]
F1_bb_test,[]
F1_ponyGE_train,[0.7778958802102809, 0.7644833046387634, 0.7559674137318465, 0.7547103389889076, 0.7538995890771049, 0.7247834794857589, 0.7656800806524756, 0.7978218653926208, 0.7575160616506695, 0.7416045654767645]
F1_ponyGE_test,[0.2688888888888889, 0.16666666666666666, 0.6744862155388471, 0.7111111111111111, 0.7669565217391305, 0.9207305936073059, 0.6027906976744185, 0.5326376811594202, 0.8215049581956057, 0.8930338789493719]
