ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.40144028519265307	180.78	7.47	156.76	120.52	0.7097931772731781	0	0	810	10	694	540	12	5	11	8	0	0	4.897581577301025	100	4.897581577301025	100	0.0	
0.41917028338131884	150.36	8.258620689655173	54.672413793103445	41.827586206896555	0.7097931772731781	1	43	451	16.0	247.0	190.0	6	3.0	3.0	2.0	0	0	0.4766669273376465	200	5.374248504638672	150	25.0	
0.4362381139213226	169.59	7.971830985915493	44.61971830985915	34.11267605633803	0.7097931772731781	2	73	474	17.0	196.0	150.0	8	3.0	3.0	2.0	0	0	0.5592317581176758	300	5.933480262756348	197	34.33333333333334	
0.4164951820020267	183.18	7.635135135135135	45.067567567567565	34.4054054054054	0.7174742773816682	3	100	481	17.0	204.0	156.0	12	3.0	3.0	2.0	0	0	0.5820634365081787	400	6.515543699264526	244	39.0	
0.4353912053363479	172.83	7.943820224719101	47.59550561797753	36.38202247191011	0.7355958356808929	4	112	392	17.0	195.0	150.0	12	3.0	3.0	2.0	0	0	0.6966292858123779	500	7.212172985076904	304	39.2	
0.447654101455539	206.57	9.176470588235293	63.48235294117647	48.588235294117645	0.7355958356808929	5	128	427	17.0	212.0	162.0	32	3.0	3.0	2.0	0	0	0.7356834411621094	600	7.947856426239014	372	38.0	
0.46170956276531205	235.79	9.430232558139535	76.6046511627907	58.51162790697674	0.7355958356808929	6	143	427	17.0	331.0	254.0	22	3.0	3.0	2.0	0	0	0.7353606224060059	700	8.68321704864502	440	37.142857142857146	
0.4576179927643773	233.44	9.553191489361701	74.74468085106383	57.1063829787234	0.7355958356808929	7	150	469	17.0	331.0	254.0	24	3.0	3.0	2.0	0	0	0.7835221290588379	800	9.466739177703857	513	35.875	
0.46522518174971855	269.35	9.83695652173913	79.07608695652173	60.41304347826087	0.7386279464491659	8	159	494	16.0	259.0	198.0	24	3.0	3.0	2.0	0	0	0.7775037288665771	900	10.244242906570435	586	34.888888888888886	
0.5049617579818318	275.96	9.909090909090908	80.38636363636364	61.36363636363637	0.7386279464491659	9	172	485	17.0	291.0	224.0	35	3.0	3.0	2.0	0	0	0.7520673274993896	1000	10.996310234069824	654	34.599999999999994	
0.49516838322681883	296.85	9.690721649484535	71.03092783505154	54.28865979381443	0.7391801996194013	10	176	469	16.0	181.0	140.0	46	3.0	3.0	2.0	0	0	0.7944214344024658	1100	11.79073166847229	729	33.727272727272734	
0.47153894234021815	293.69	10.617977528089888	85.24719101123596	65.37078651685393	0.7391801996194013	11	188	490	17.0	299.0	232.0	151	3.0	3.0	2.0	0	0	0.77158522605896	1200	12.56231689453125	801	33.25	
0.47265081939989184	305.44	10.96774193548387	88.3225806451613	67.89247311827957	0.7414390216326965	12	196	486	17.0	243.0	188.0	159	3.0	3.0	2.0	0	0	0.8154773712158203	1300	13.37779426574707	877	32.53846153846153	
0.4960843045822797	307.31	10.717391304347826	89.94565217391305	69.0	0.7414390216326965	13	205	471	17.0	248.0	190.0	179	3.0	3.0	2.0	0	0	0.8048005104064941	1400	14.182594776153564	954	31.85714285714286	
0.48649495384957814	309.09	10.849462365591398	93.50537634408602	71.80645161290323	0.7414390216326965	14	213	477	17.0	286.0	220.0	178	3.0	3.0	2.0	0	0	0.8444724082946777	1500	15.027067184448242	1024	31.733333333333334	
0.5114977846128181	316.8	11.772727272727273	115.42045454545455	88.77272727272727	0.7414390216326965	15	226	491	17.0	367.0	282.0	166	3.0	3.0	2.0	0	0	0.8498070240020752	1600	15.876874208450317	1101	31.1875	
0.49247840281649086	326.9	11.202247191011235	103.75280898876404	79.61797752808988	0.7414390216326965	16	238	499	17.0	271.0	210.0	183	6.0	16.0	12.0	0	0	0.8237488269805908	1700	16.700623035430908	1172	31.058823529411768	
0.517188741340446	317.9	11.44186046511628	102.67441860465117	78.90697674418605	0.7414390216326965	17	253	492	17.0	292.0	224.0	167	3.0	3.0	2.0	0	0	0.8016390800476074	1800	17.502262115478516	1244	30.888888888888886	
0.5376471202892504	313.11	11.459770114942529	109.64367816091954	84.0919540229885	0.7414390216326965	18	267	487	17.0	292.0	224.0	146	3.0	3.0	2.0	0	0	0.8287694454193115	1900	18.331031560897827	1317	30.684210526315795	
0.5259911665173062	302.72	11.063157894736841	103.2421052631579	79.36842105263158	0.7414390216326965	19	273	473	17.0	356.0	272.0	73	3.0	3.0	2.0	0	0	0.8806920051574707	2000	19.211723566055298	1399	30.049999999999997	
0.5075937252583573	282.62	10.43956043956044	87.91208791208791	67.36263736263736	0.7414390216326965	20	283	486	17.0	307.0	234.0	62	5.0	11.0	8.0	0	0	0.7955713272094727	2100	20.00729489326477	1475	29.761904761904773	
0.5310005773479236	288.16	10.47191011235955	86.69662921348315	66.4494382022472	0.7414390216326965	21	295	419	17.0	302.0	232.0	62	3.0	3.0	2.0	0	0	0.7886333465576172	2200	20.795928239822388	1551	29.5	
0.5602574786989486	287.66	10.747252747252746	97.47252747252747	74.7032967032967	0.7414390216326965	22	305	468	17.0	308.0	236.0	88	3.0	3.0	2.0	0	0	0.8269851207733154	2300	21.622913360595703	1619	29.608695652173907	
0.5393368712986879	289.14	11.15625	99.94791666666667	76.66666666666667	0.7430529286772058	23	310	484	17.0	336.0	256.0	88	3.0	3.0	2.0	0	0	0.8821570873260498	2400	22.505070447921753	1694	29.41666666666667	
0.5354701299112217	299.76	10.877777777777778	96.71111111111111	74.08888888888889	0.7449603596764341	24	321	478	17.0	380.0	290.0	106	3.0	3.0	2.0	0	0	0.8129796981811523	2500	23.318050146102905	1773	29.08	
0.534544963638184	301.96	11.280898876404494	104.7752808988764	80.2247191011236	0.7449603596764341	25	333	475	17.0	357.0	274.0	99	3.0	3.0	2.0	0	0	0.8275585174560547	2600	24.14560866355896	1847	28.961538461538467	
0.5327523565917522	286.87	11.325842696629213	100.24719101123596	76.6067415730337	0.7449603596764341	26	345	450	17.0	323.0	248.0	177	3.0	3.0	2.0	0	0	0.8029518127441406	2700	24.9485604763031	1920	28.888888888888886	
0.5825882390626369	301.43	11.923076923076923	113.93406593406593	86.98901098901099	0.7449603596764341	27	355	490	17.0	325.0	250.0	151	5.0	11.0	8.0	0	0	0.8555233478546143	2800	25.804083824157715	1997	28.67857142857143	
